objectid,title,date,start_year,end_year,date_type
ihl_artist_135,Shimada Bokusen 島田墨仙,1867–1943,1867,1943,birth-death
ihl_artist_136,Shinagawa Takumi 品川工,1908-2009,1908,2009,birth-death
ihl_artist_137,Shōsai Ikkei 昇斎 一景,fl. c. 1870s,1870,,birth
ihl_artist_138,Shusetsu 守拙,active c. 1900,1900,1900,active
ihl_artist_139,Suga Tatehiko 菅楯彦,1878-1963,1878,1963,birth-death
ihl_artist_140,Suzuki Toshimoto 鈴木年基,active 1877-1890s,1877,1890,active
ihl_artist_141,Tadashige Ono 小野忠重,1909-1990,1909,1990,birth-death
ihl_artist_142,Taguchi Beisaku 田口米作,1864-1903,1864,1903,birth-death
ihl_artist_143,Tajima Hiroyuki 田嶋宏行,1911-1984,1911,1984,birth-death
ihl_artist_144,Takagi Shirō 高木志朗,1934-1998,1934,1998,birth-death
ihl_artist_145,Takahashi Rikio 高橋力雄,1917-1998,1917,1998,birth-death
ihl_artist_146,Takashima Unpō 高島雲峰,1894-1987,1894,1987,birth-death
ihl_artist_147,Takeda Hideo 武田秀雄,b. 1948,1948,,birth
ihl_artist_148,Takehisa Yumeji 竹久夢二,1884-1934,1884,1934,birth-death
ihl_artist_149,Takeuchi Keishū 武内桂舟,1861-1942,1861,1942,birth-death
ihl_artist_150,Takeuchi Seihō 竹内栖鳳,1864-1942,1864,1942,birth-death
ihl_artist_151,Tamamura Hokuto 玉村方久斗,1893-1951,1893,1951,birth-death
ihl_artist_152,Terasawa Kōtarō 寺澤孝太郎,fl. ca. 1915,1915,,birth
ihl_artist_153,Tokuriki Tomikichirō 徳力富吉郎,1902-2000,1902,2000,birth-death
ihl_artist_154,Tomita Keisen 冨田溪仙,1879-1936,1879,1936,birth-death
ihl_artist_155,Torii Kiyosada 鳥居清貞,1844-1901,1844,1901,birth-death
ihl_artist_156,Torii Kiyotada VII 七代 鳥居清忠,1875-1941,1875,1941,birth-death
ihl_artist_157,Torii Kotondo 鳥居言人,1900-1976,1900,1976,birth-death
ihl_artist_158,Toyohara Chikamitsu 豊原周光,active c. 1891- 1896,1891,1896,active
ihl_artist_159,Toyohara Chikayoshi 豊原周義,fl. 1870s-1880s,1870,1880,birth-death
ihl_artist_160,Toyohara Kunichika 豊原国周,1835–1900,1835,1900,birth-death
ihl_artist_161,Tsuchiya Kōitsu 土屋光逸,1870-1949,1870,1949,birth-death
ihl_artist_162,Tsukioka Gyokusei 月岡玉瀞,1908-1994,1908,1994,birth-death
ihl_artist_163,Tsukioka Kōgyo 月岡耕漁,1869-1927,1869,1927,birth-death
ihl_artist_164,Tsukioka Yoshitoshi 月岡芳年,1839-1892,1839,1892,birth-death
ihl_artist_165,Tsuneshige 経茂,active 1894-1904?,1894,1904,active
ihl_artist_166,Uchima Ansei 内間安瑆,1921-2000,1921,2000,birth-death
ihl_artist_167,Ueda Fujō 上田富丈,1899-1979,1899,1979,birth-death
ihl_artist_168,Unread,,,,unknown
ihl_artist_169,Unsen 雲僊,active. c. 1874,1874,1874,active
ihl_artist_170,Utagawa Fusatane 歌川房種,active 1854-1888,1854,1888,active
ihl_artist_171,Utagawa Hiroshige II 二代 歌川広重,1826-1869,1826,1869,birth-death
ihl_artist_172,Utagawa Hiroshige III 三代 歌川広重,1842–1894,1842,1894,birth-death
ihl_artist_173,Utagawa Kokunimasa 歌川小国政,1874-1944,1874,1944,birth-death
